name|url
"<a class=""toggle-nav"" href=""#"">
<i class=""fa fa-bars""></i>
</a>"|#
"<a class=""navbar-defaultp navbar-brand"" href=""#""><img src=""../themes/img/logo-big1.png"" style=""height: 40px; margin-top: -12px;""/></a>"|#
"<a href=""/hdc/index.php"">
<span>หน้าแรก</span>
</a>"|/hdc/index.php
"<a class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"">
<span>กลุ่มรายงานมาตรฐาน</span>
<span class=""caret""></span>
</a>"|#
"<a class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"">ข้อมูลทั่วไป</a>"|#
"<a href=""../reports/page.php?cat_id=ac4eed1bddb23d6130746d62d2538fd0"">ประชากร</a>"|../reports/page.php?cat_id=ac4eed1bddb23d6130746d62d2538fd0
"<a href=""../reports/page.php?cat_id=2dd52135c6fe0be88dc455a59202bcd5"">ความครอบคลุมการมีหลักประกันสุขภาพโดยรัฐ</a>"|../reports/page.php?cat_id=2dd52135c6fe0be88dc455a59202bcd5
"<a href=""../reports/page.php?cat_id=c11dad88f80061c70cd1ae96b500d017"">บุคลากรสาธารณสุข</a>"|../reports/page.php?cat_id=c11dad88f80061c70cd1ae96b500d017
"<a href=""../reports/page.php?cat_id=b415510618e13273b2f2918587f86e5d"">จำนวนหน่วยงานสาธารณสุข</a>"|../reports/page.php?cat_id=b415510618e13273b2f2918587f86e5d
"<a href=""../reports/page.php?cat_id=b91a30012c36ef54910261d9cfc6d7f5"">ข้อมูลพื้นฐานและสรุปผู้รับบริการ</a>"|../reports/page.php?cat_id=b91a30012c36ef54910261d9cfc6d7f5
"<a href=""../reports/page.php?cat_id=dc6012062b7e25f464da5f82f756e4ce"">โรงเรียนและนักเรียน</a>"|../reports/page.php?cat_id=dc6012062b7e25f464da5f82f756e4ce
"<a class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"">สถานะสุขภาพ</a>"|#
"<a href=""../reports/page.php?cat_id=7f9ab56b0f39fd053143ecc4f05354fc"">การป่วยด้วยโรคติดต่อที่สำคัญ</a>"|../reports/page.php?cat_id=7f9ab56b0f39fd053143ecc4f05354fc
"<a href=""../reports/page.php?cat_id=6a1fdf282fd28180eed7d1cfe0155e11"">การป่วยด้วยโรคไม่ติดต่อที่สำคัญ</a>"|../reports/page.php?cat_id=6a1fdf282fd28180eed7d1cfe0155e11
"<a href=""../reports/page.php?cat_id=491672679818600345dc1833920051b2"">สาเหตุการป่วย/ตาย </a>"|../reports/page.php?cat_id=491672679818600345dc1833920051b2
"<a href=""../reports/page.php?cat_id=7a18700f863ca0f12e569688b0763db4"">งานวัณโรค</a>"|../reports/page.php?cat_id=7a18700f863ca0f12e569688b0763db4
"<a href=""../reports/page.php?cat_id=f16421e617aed29602f9f09d951cce68"">โรคจากการประกอบอาชีพและสิ่งแวดล้อม</a>"|../reports/page.php?cat_id=f16421e617aed29602f9f09d951cce68
