"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01010 Craniotomy  for trauma, no CC","88","318","3.61","5,315,834.34","60,407.21","342.5246","3.8923","43","3.9079"
"01011 Craniotomy  for trauma, w mild CC","149","616","4.13","10,812,136.32","73,054.98","796.5249","5.3458","70","5.3425"
"01012 Craniotomy  for trauma, w mod CC","169","1,689","9.99","19,560,405.33","117,128.18","1,316.8451","7.7920","66","7.8257"
"01013 Craniotomy  for trauma, w severe CC","55","327","5.95","4,470,683.46","81,285.15","343.3190","6.2422","16","6.2577"
"01014 Craniotomy  for trauma, w catas CC","134","1,144","8.54","12,697,399.19","96,192.42","1,159.0323","8.6495","52","8.6562"
"01020 Craniotomy  except for trauma, no CC","157","740","4.71","9,481,294.69","60,777.53","756.9458","4.8213","67","4.7922"
"01022 Craniotomy  except for trauma, w mild to mod CC","102","1,016","9.96","10,973,564.02","109,735.64","851.3373","8.3464","43","8.3633"
"01023 Craniotomy  except for trauma, w severe CC","327","4,658","14.24","40,728,680.43","126,094.99","3,583.2735","10.9580","127","10.9355"
"01024 Craniotomy  except for trauma, w catas CC","424","5,975","14.09","52,968,650.64","125,518.13","4,409.3327","10.3994","155","10.3857"
"01030 Spinal procedures, no CC","1","1","1.00","24,443.00","24,443.00","3.8994","3.8994","0","0.0000"
"01032 Spinal procedures, w mild to mod CC","3","34","11.33","522,294.69","174,098.23","35.0693","11.6898","1","10.7831"
"01034 Spinal procedures, w catas CC","11","270","24.55","2,946,687.27","267,880.66","101.0416","9.1856","5","9.1856"
"01044 Ventricular shunt revision, w catas CC","1","41","41.00","197,831.00","197,831.00","6.4857","6.4857","0","0.0000"
"01050 Extracranial vascular procedures, no CC","1","6","6.00","310,463.00","310,463.00","3.7372","3.7372","0","0.0000"
"01060 Peripheral & cranial nerve & other NS proc, no CC","5","30","6.00","296,448.42","59,289.68","9.5159","1.9032","1","1.9224"
"01061 Peripheral & cranial nerve & other NS proc, w mild CC","1","2","2.00","11,299.00","11,299.00","3.0611","3.0611","0","0.0000"
"01062 Peripheral & cranial nerve & other NS proc, w mod CC","2","16","8.00","149,236.25","74,618.13","10.8290","5.4145","1","7.0477"
"01063 Peripheral & cranial nerve & other NS proc, w severe CC","2","29","14.50","117,364.50","58,682.25","8.5290","4.2645","2","4.2645"
"01064 Peripheral & cranial nerve & other NS proc, w catas CC","18","744","41.33","2,756,845.68","153,158.09","118.1036","6.5613","1","6.5413"
"01080 Intracranial vasc proc for PDx intracranial h'ge, no CC","1","7","7.00","97,310.00","97,310.00","10.9561","10.9561","1","10.9561"
"01082 Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC","1","13","13.00","94,566.00","94,566.00","12.0307","12.0307","1","12.0307"
"01083 Intracranial vasc proc for PDx intracranial h'ge, w severe CC","10","164","16.40","2,007,617.63","200,761.76","137.5536","13.7554","4","13.7177"
"01084 Intracranial vasc proc for PDx intracranial h'ge, w catas CC","20","263","13.15","4,137,483.22","206,874.16","319.9020","15.9951","8","15.9951"
