"ผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท","จำแนกเพศ(คน)","ผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท รวมทั้งหมด (คน)[B]","ไม่พบประวัติการก่อความรุนแรง(ไม่พบรหัส SMIV/พบรหัส 1B036)","พบพฤติกรรมก่อความรุนแรง"
"พบ SMI-Vทั้งหมด(คน)[A]","ร้อยละ[A/B]x100","พบทำร้ายตนเองด้วยวิธีรุนแรงมุ่งหวังให้เสียชีวิต(1B030)","พบทำร้ายผู้อื่นด้วยวิธีรุนแรง/ก่อความรุนแรงทำให้หวาดกลัว สะเทือนขวัญในชุมชน(1B031)","พบมีอาการหลงผิด มีความคิดทำร้ายตนเอง/ผู้อื่นให้ถึงกับชีวิต หรือมุ่งร้ายผู้อื่นแบบเฉพาะเจาะจง (1B032)","พบว่าก่อคดีอาญารุนแรง (ฆ่า พยายามฆ่า ข่มขืน วางเพลิง)(1B033)","พบเคยมีประวัติก่อความรุนแรง(1B038)","ได้รับการติดตามอย่างน้อย 1 ครั้งต่อปี (1B037)"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพฝิ่นและอนุพันธ์ของฝิ่น(F11.xx)","ชาย","388","0","388","100.00","84","125","201","43","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพฝิ่นและอนุพันธ์ของฝิ่น(F11.xx)","หญิง","39","0","39","100.00","12","15","21","0","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพกัญชา(F12.xx)","ชาย","1,443","0","1,443","100.00","150","839","891","92","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพกัญชา(F12.xx)","หญิง","35","0","35","100.00","8","17","18","1","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยากล่อมประสาทและยานอนหลับ(F13.xx)","ชาย","1","0","1","100.00","0","1","1","0","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพโคเคน(F14.xx)","ชาย","2","0","2","100.00","1","0","2","0","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารกระตุ้นระบบประสาทอื่นรวมทั้งกาแฟ(F15.xx)","ชาย","22,367","0","22,367","100.00","1,635","10,544","12,181","5,088","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารกระตุ้นระบบประสาทอื่นรวมทั้งกาแฟ(F15.xx)","หญิง","2,233","0","2,233","100.00","270","1,195","1,421","146","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลอนประสาท(F16.xx)","ชาย","1","0","1","100.00","1","1","1","1","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารระเหย(F18.xx)","ชาย","146","0","146","100.00","10","89","68","20","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารระเหย(F18.xx)","หญิง","10","0","10","100.00","1","4","6","0","0","0"
