"รหัสโรค","รวม","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC","ทุกสิทธิ์","UC"
"คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"U77, การส่งเสริมสุขภาพและการป้องกันโรค","22,101","37,652","18,672","29,809","8,231","12,395","6,589","11,511","10,186","11,747","9,031","9,849","4,941","6,890","4,046","5,440","4,801","6,620","4,801","6,620"
"U5732, ลมปลายปัตฆาตสัญญาณ 3 หลัง","9,118","15,507","7,799","11,869","3,418","4,699","2,818","4,378","2,975","3,919","2,387","2,865","2,443","3,252","2,096","2,643","2,633","3,637","2,633","3,637"
"U5753, ลมจับโปงแห้งเข่า","8,306","12,442","7,496","11,245","2,278","2,859","2,001","3,004","2,869","3,628","2,497","3,189","1,989","2,530","1,854","2,373","2,860","3,425","2,860","3,425"
"U5733, ลมปลายปัตฆาตสัญญาณ 4 หลัง / คอ","6,297","10,627","4,991","7,239","2,005","2,867","1,337","2,655","2,143","2,996","1,577","1,899","1,677","2,198","1,349","1,630","1,956","2,566","1,956","2,566"
"U5726, ลมปลายปัตฆาตขา","6,635","9,568","5,621","7,768","2,502","3,082","2,027","2,894","1,950","2,343","1,615","1,873","1,706","2,021","1,460","1,696","1,795","2,122","1,795","2,122"
"U7506, ปวดขา หรือ ปวดเข่า หรือ ปวดเท้า","6,217","9,016","5,626","8,028","2,013","2,572","1,799","2,583","1,836","2,199","1,628","1,919","1,678","2,057","1,560","1,903","1,883","2,188","1,883","2,188"
"U5731, ลมปลายปัตฆาตสัญญาณ 1 หลัง","5,607","8,065","4,531","5,817","2,147","2,650","1,625","2,413","1,561","1,875","1,289","1,485","1,334","1,650","1,060","1,210","1,435","1,890","1,435","1,890"
"U7502, ปวดบ่า หรือ ปวดไหล่","3,996","5,341","3,451","4,515","1,348","1,612","1,142","1,740","1,422","1,623","1,211","1,368","861","1,013","757","877","911","1,093","911","1,093"
"U7504, ปวดเอว หรือ ปวดสะโพก","3,171","5,167","2,891","4,566","1,218","1,605","1,088","1,686","1,188","1,492","1,073","1,333","779","972","703","867","864","1,098","864","1,098"
"U7501, ปวดหลัง","3,732","4,843","3,215","4,061","1,348","1,574","1,151","1,599","1,260","1,423","1,085","1,185","780","886","675","753","842","960","842","960"
"U610, อัมพฤกษ์ หรือ ลมอัมพฤกษ์","1,461","4,727","1,265","4,140","598","1,340","507","1,338","590","1,205","506","1,044","532","1,107","476","999","441","1,075","441","1,075"
"U6110, อัมพาตครึ่งซีก","1,205","4,698","1,074","4,162","522","1,300","460","1,240","471","1,182","422","1,009","464","1,069","414","953","536","1,147","536","1,147"
"U7505, ปวดกล้ามเนื้อ","3,367","4,220","3,025","3,822","1,110","1,219","997","1,142","1,023","1,087","923","979","962","1,031","878","940","815","883","815","883"
"U503, สตรีหลังคลอดอยู่ไฟไม่ได้","1,165","3,849","1,077","3,641","254","851","231","983","381","1,251","349","1,188","320","967","309","928","273","780","273","780"
"U7503, ปวดแขน หรือ ปวดมือ","2,245","2,922","2,041","2,616","849","993","753","931","628","700","572","632","491","549","449","499","620","680","620","680"
"U5722, ลมปลายปัตฆาตแขน","2,255","2,763","2,001","2,470","784","841","667","857","708","780","632","696","497","548","448","496","549","594","549","594"
"U5720, ลมปลายปัตฆาตบ่า","1,947","2,422","1,661","2,064","734","785","613","699","534","574","467","494","462","494","389","416","479","569","479","569"
"U643, ไอ","1,936","2,326","1,792","2,153","565","623","500","692","694","754","643","703","499","538","476","510","390","411","390","411"
"U6680, ท้องอืด","1,840","2,128","1,648","1,887","522","598","437","608","593","637","521","559","427","450","388","408","422","443","422","443"
"U5734, ลมปลายปัตฆาตสัญญาณ 5 หลัง / คอ","1,554","1,996","1,376","1,764","504","567","424","610","461","541","407","481","327","406","297","375","408","482","408","482"
