"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ฟ้าทะลายโจร, ยาแคปซูล","2,667,626","1,956,754","2,208,762,173","123,194,317.20"
"ขมิ้นชัน, ยาแคปซูล","2,300,988","1,728,179","74,001,072","167,206,421.73"
"ประสะมะแว้ง, ยาเม็ด","1,422,762","1,066,123","4,065,526","25,386,095.15"
"อมมะแว้ง, ยาเม็ด","1,228,884","921,020","3,575,087","22,857,568.47"
"แก้ไอมะขามป้อม, ยาน้ำ","1,222,256","883,343","1,758,802","30,553,082.39"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 1, ยาน้ำ","1,192,946","896,531","1,514,716","30,454,133.49"
"เถาวัลย์เปรียง, ยาแคปซูล","1,039,387","857,505","23,371,065","50,652,518.62"
"มะขามแขก, ยาแคปซูล","997,124","755,611","41,763,034","139,409,375.20"
"ไพล, ครีม","895,375","635,988","1,036,809","46,347,963.05"
"น้ำมันไพล, ยาเข้าน้ำมัน","885,598","682,919","989,047","41,461,441.20"
"ยาประคบ, ยาประคบ","699,347","552,230","841,962","46,143,270.77"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","503,979","384,824","549,230","17,140,969.92"
"ธาตุอบเชย , ยาน้ำ","471,197","344,681","706,959","16,346,141.68"
"สหัศธารา, ยาแคปซูล","289,074","227,268","7,423,871","16,083,095.19"
"หอมเทพจิตร, ยาผง","279,347","208,608","2,338,340","12,745,078.33"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","265,625","180,540","477,115","6,653,082.33"
"พญายอ, ครีม","255,299","182,031","398,601","13,024,361.41"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","222,840","164,887","287,305","5,841,900.69"
"แคปซูลเถาวัลย์เปรียง ตราเคเอ็มพี, ยาแคปซูล","220,772","174,052","4,545,131","14,836,717.78"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","211,525","167,958","230,643","6,646,944.71"
"ไพลจีซาล , ครีม","200,513","156,250","45,259,250","3,840,394,804.84"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","200,168","133,564","280,088","4,415,308.96"
"พริก, เจล","193,980","131,436","257,786","12,221,612.48"
"มะแว้ง, ยาแคปซูล","184,586","150,159","525,098","3,005,248.04"
"แคปซูลเถาวัลย์เปรียง ตราธงทอง, ยาแคปซูล","169,061","133,580","4,001,971","6,898,882.84"
"รางจืด, ยาชง","160,893","126,661","1,889,464","8,212,017.54"
"มะขามป้อม, ยาน้ำ","145,309","102,604","200,308","4,296,404.65"
"ขิง, ยาชง","139,800","98,351","2,948,344","8,230,709.73"
"หอมนวโกฐ, ยาผง","135,396","102,457","1,970,067","6,975,179.13"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","122,199","88,120","162,771","2,019,176.38"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 1, ยาลูกกลอน","118,889","99,731","2,627,229","5,745,228.20"
"มะระขี้นก, ยาแคปซูล","115,163","86,578","7,024,105","12,294,542.14"
"ขี้ผึ้งไพล  สูตรตำรับที่ 2, ขี้ผึ้ง","96,599","74,226","105,977","3,226,320.74"
