"โรงพยาบาล","การคัดกรองประชากร 35 ปีขึ้นไปที่ไม่ป่วยด้วยโรคความดันโลหิตสูง","การเข้าถึงบริการของผู้ป่วยโรคความดันโลหิตสูง","ผู้รับบริการผู้ป่วยนอกด้วยโรคความดันโลหิตสูง"
"เป้าหมาย(คน)","ผลงาน(คน)","ร้อยละ","จำนวนผู้ป่วยที่ขึ้นทะเบียนในเขตรับผิดชอบ(คน)","ในเขตรับผิดชอบ(คน)","นอกเขตรับผิดชอบ(คน)","รวม(คน)","ร้อยละ","คน","ครั้ง"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0.00","0","0","0","0","0.00","0","0"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0.00","0","0","0","0","0.00","15,096","19,127"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11472  :  โรงพยาบาลราชวิถี","0","0","0.00","0","0","0","0","0.00","24,398","99,908"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0","0","0.00","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0","0","0.00","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0","0","0.00","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0","0","0.00","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0","0","0.00","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0","0","0.00","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00","22,228","131,758"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0.00","0","0","0","0","0.00","3,184","3,817"
"11537  :  โรงพยาบาลกลาง","0","0","0.00","0","0","0","0","0.00","16,539","66,176"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00","0","0"
"11539  :  โรงพยาบาลตากสิน","0","0","0.00","0","0","0","0","0.00","17,111","166,115"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0.00","0","0","0","0","0.00","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0","0","0.00","21,578","99,961"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0","0","0.00","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0","0","0.00","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0","0","0.00","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0","0","0.00","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0","0","0.00","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0","0","0.00","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0","0","0.00","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0","0","0.00","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","9","0","0.00","1","1","0","1","100.00","718","2,612"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0","0","0.00","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0","0","0.00","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0","0","0.00","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0","0","0.00","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0","0","0.00","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0","0","0.00","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0","0","0.00","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0","0","0.00","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0","0","0.00","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0","0","0.00","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0","0","0.00","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0","0","0.00","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0","0","0.00","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0","0","0.00","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0","0","0.00","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0","0","0.00","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0","0","0.00","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0","0","0.00","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0","0","0.00","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0","0","0.00","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0","0","0.00","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0","0","0.00","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0","0","0.00","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0","0","0.00","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0","0","0.00","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0","0","0.00","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0","0","0.00","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0","0","0.00","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0","0","0.00","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","15","0","0.00","4","0","4","4","100.00","1,254","3,276"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0","0","0.00","3","3"
"12249  :  สถาบันโรคผิวหนัง","5","0","0.00","0","0","0","0","0.00","14","19"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0","0","0.00","56","57"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0","0","0.00","79","109"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0","0","0.00","1,109","1,521"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0","0","0.00","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0","0","0.00","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0","0","0.00","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0","0","0.00","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0","0","0.00","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0","0","0.00","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0","0","0.00","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0","0","0.00","8,543","23,531"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0","0","0.00","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0","0","0.00","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0","0","0.00","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0","0","0.00","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0","0","0.00","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0","0","0.00","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0","0","0.00","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0","0","0.00","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0","0","0.00","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0","0","0.00","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0","0","0.00","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0","0","0.00","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0","0","0.00","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","137","15","10.95","54","37","6","43","79.63","25,012","82,607"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0","0","0","0.00","7,203","28,795"
"10753  :  โรงพยาบาลบางพลี","201","9","4.48","19","14","1","15","78.95","11,487","35,601"
"10754  :  โรงพยาบาลบางจาก","369","152","41.19","323","289","27","316","97.83","4,313","15,390"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","5,289","4,505","85.18","1,670","1,212","100","1,312","78.56","5,520","21,890"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,612","828","31.70","1,312","1,111","57","1,168","89.02","1,933","6,740"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0","0","0.00","6,441","31,468"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","116","2","1.72","3","0","3","3","100.00","9","17"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","7,044","1,287","18.27","1,297","688","375","1,063","81.96","1,771","7,972"
"28785  :  โรงพยาบาลบางเสาธง","185","148","80.00","159","141","8","149","93.71","1,655","6,271"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0","0","0.00","26,256","85,939"
"10756  :  โรงพยาบาลบางกรวย","4,353","2,662","61.15","723","510","55","565","78.15","3,804","12,975"
"10757  :  โรงพยาบาลบางใหญ่","5,942","2,913","49.02","938","697","109","806","85.93","7,226","33,069"
"10758  :  โรงพยาบาลบางบัวทอง","3,379","1,319","39.04","842","597","125","722","85.75","7,244","35,031"
"10759  :  โรงพยาบาลไทรน้อย","7,251","4,675","64.47","1,871","1,422","155","1,577","84.29","5,789","29,127"
"10760  :  โรงพยาบาลปากเกร็ด","12,155","7,282","59.91","2,406","1,687","435","2,122","88.20","8,102","34,289"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0","0","0.00","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0","0","0.00","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0","0","0.00","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0","0","0.00","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","1","0","0.00","1","1","0","1","100.00","1,193","3,509"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","5,454","827","15.16","3,909","4,775","-1,116","3,659","93.60","15,769","52,595"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0","0","0.00","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","1,091","474","43.45","350","236","43","279","79.71","1,373","5,669"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0","0","0","0.00","20,595","56,538"
"10761  :  โรงพยาบาลคลองหลวง","2,236","2,192","98.03","437","341","53","394","90.16","5,174","17,347"
"10762  :  โรงพยาบาลธัญบุรี","5,032","4,578","90.98","442","391","16","407","92.08","6,153","25,948"
"10763  :  โรงพยาบาลประชาธิปัตย์","5,369","5,228","97.37","1,395","1,155","22","1,177","84.37","5,312","21,050"
"10764  :  โรงพยาบาลหนองเสือ","2,704","2,451","90.64","606","441","12","453","74.75","4,153","17,622"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,817","1,598","87.95","636","518","26","544","85.53","3,750","15,505"
"10766  :  โรงพยาบาลลำลูกกา","5","0","0.00","0","0","0","0","0.00","5,244","21,116"
"10767  :  โรงพยาบาลสามโคก","1,211","1,026","84.72","493","386","23","409","82.96","1,978","9,022"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0","0","0.00","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0","0","0.00","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0","0","0.00","10,986","28,558"
"10688  :  โรงพยาบาลเสนา","1,227","211","17.20","480","383","8","391","81.46","10,351","40,912"
"10768  :  โรงพยาบาลท่าเรือ","5,973","2,007","33.60","2,042","1,662","47","1,709","83.69","6,104","20,678"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","25","18","72.00","83","70","4","74","89.16","4,108","17,686"
"10770  :  โรงพยาบาลบางไทร","1,457","422","28.96","618","523","37","560","90.61","4,068","15,918"
"10771  :  โรงพยาบาลบางบาล","768","668","86.98","336","254","39","293","87.20","3,438","13,050"
"10772  :  โรงพยาบาลบางปะอิน","5,527","2,136","38.65","1,161","891","66","957","82.43","7,513","25,484"
"10773  :  โรงพยาบาลบางปะหัน","637","591","92.78","398","334","13","347","87.19","4,835","19,584"
"10774  :  โรงพยาบาลผักไห่","477","379","79.45","324","250","14","264","81.48","5,531","21,338"
"10775  :  โรงพยาบาลภาชี","2,772","2,251","81.20","987","771","33","804","81.46","4,004","18,105"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,055","507","48.06","306","224","9","233","76.14","3,828","11,925"
"10777  :  โรงพยาบาลวังน้อย","3,265","2,105","64.47","620","448","24","472","76.13","5,420","18,587"
"10778  :  โรงพยาบาลบางซ้าย","1,442","1,314","91.12","597","456","64","520","87.10","1,866","9,177"
"10779  :  โรงพยาบาลอุทัย","574","197","34.32","149","125","10","135","90.60","5,471","19,193"
"10780  :  โรงพยาบาลมหาราช","741","540","72.87","299","245","16","261","87.29","2,425","9,562"
"10781  :  โรงพยาบาลบ้านแพรก","476","356","74.79","311","279","6","285","91.64","2,031","10,970"
"10689  :  โรงพยาบาลอ่างทอง","547","532","97.26","361","283","1","284","78.67","10,927","42,693"
"10782  :  โรงพยาบาลไชโย","1,080","1,053","97.50","404","345","26","371","91.83","2,807","13,555"
"10784  :  โรงพยาบาลป่าโมก","1,812","1,471","81.18","759","590","43","633","83.40","4,024","25,455"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,401","1,216","86.80","602","417","81","498","82.72","5,357","26,635"
"10786  :  โรงพยาบาลแสวงหา","2,564","2,289","89.27","1,468","1,184","56","1,240","84.47","4,863","26,001"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","3,271","3,129","95.66","878","635","74","709","80.75","5,435","28,037"
"10788  :  โรงพยาบาลสามโก้","733","650","88.68","442","396","12","408","92.31","2,472","9,018"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0","0","0","0.00","35,140","81,991"
"10691  :  โรงพยาบาลบ้านหมี่","1,041","205","19.69","404","257","8","265","65.59","8,396","39,732"
