"โรงพยาบาล","การคัดกรองประชากร 35 ปีขึ้นไปที่ไม่ป่วยด้วยโรคเบาหวาน","การเข้าถึงบริการของผู้ป่วยเบาหวาน","ผู้รับบริการผู้ป่วยนอกด้วยโรคเบาหวาน"
"เป้าหมาย(คน)","ผลงาน(คน)","ร้อยละ","จำนวนผู้ป่วยที่ขึ้นทะเบียนในเขตรับผิดชอบ(คน)","ในเขตรับผิดชอบ(คน)","นอกเขตรับผิดชอบ(คน)","รวม(คน)","ร้อยละ","คน","ครั้ง"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0.00","0","0","0","0","0.00","0","0"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0.00","0","0","0","0","0.00","9,616","25,238"
"11471  :  โรงพยาบาลสงฆ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11472  :  โรงพยาบาลราชวิถี","0","0","0.00","0","0","0","0","0.00","15,090","62,441"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0.00","0","0","0","0","0.00","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0.00","0","0","0","0","0.00","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0.00","0","0","0","0","0.00","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0.00","0","0","0","0","0.00","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0.00","0","0","0","0","0.00","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0","0","0.00","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00","11,106","75,077"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11537  :  โรงพยาบาลกลาง","0","0","0.00","0","0","0","0","0.00","0","0"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0.00","0","0","0","0","0.00","0","0"
"11539  :  โรงพยาบาลตากสิน","0","0","0.00","0","0","0","0","0.00","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0.00","0","0","0","0","0.00","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0","0","0.00","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0","0","0.00","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0","0","0.00","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0","0","0.00","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0","0","0.00","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0","0","0.00","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0","0","0.00","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0","0","0.00","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0","0","0.00","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0","0","0.00","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0","0","0.00","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0","0","0.00","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0","0","0.00","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0","0","0.00","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0","0","0.00","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0","0","0.00","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0","0","0.00","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0","0","0.00","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0","0","0.00","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0","0","0.00","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0","0","0.00","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0","0","0.00","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0","0","0.00","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0","0","0.00","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0","0","0.00","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0","0","0.00","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0","0","0.00","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0","0","0.00","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0","0","0.00","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0","0","0.00","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0","0","0.00","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0","0","0.00","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0","0","0.00","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0","0","0.00","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0","0","0.00","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0","0","0.00","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0","0","0.00","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0","0","0.00","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0","0","0.00","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0","0","0.00","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0","0","0.00","0","0"
"12249  :  สถาบันโรคผิวหนัง","2","0","0.00","1","0","1","1","100.00","9","18"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0","0","0.00","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0","0","0.00","110","401"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0","0","0.00","1,221","1,221"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0","0","0.00","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0","0","0.00","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0","0","0.00","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0","0","0.00","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0","0","0.00","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0","0","0.00","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0","0","0.00","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0","0","0.00","1,472","2,025"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0","0","0.00","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0","0","0.00","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0","0","0.00","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0","0","0.00","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0","0","0.00","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0","0","0.00","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0","0","0.00","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0","0","0.00","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0","0","0.00","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0","0","0.00","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0","0","0.00","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0","0","0.00","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0","0","0.00","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","112","30","26.79","63","45","8","53","84.13","14,347","57,246"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0","0","0","0.00","3,448","16,398"
"10753  :  โรงพยาบาลบางพลี","70","11","15.71","4","3","1","4","100.00","4,723","18,714"
"10754  :  โรงพยาบาลบางจาก","5","3","60.00","1","1","0","1","100.00","2,754","9,773"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","5,712","4,705","82.37","789","510","45","555","70.34","2,631","12,039"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","4,144","1,166","28.14","687","601","49","650","94.61","967","3,762"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0","0","0.00","4,231","22,153"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","118","6","5.08","4","0","3","3","75.00","3","7"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","7,622","1,977","25.94","668","271","290","561","83.98","433","2,019"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00","0","0","0","0","0.00","811","3,317"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0","0","0.00","16,785","60,190"
"10756  :  โรงพยาบาลบางกรวย","4,853","3,360","69.24","359","263","26","289","80.50","2,293","9,736"
"10757  :  โรงพยาบาลบางใหญ่","5,852","4,229","72.27","377","302","18","320","84.88","3,264","15,806"
"10758  :  โรงพยาบาลบางบัวทอง","3,550","2,179","61.38","420","274","58","332","79.05","3,354","19,774"
"10759  :  โรงพยาบาลไทรน้อย","7,089","5,086","71.74","859","931","-214","717","83.47","4,199","17,518"
"10760  :  โรงพยาบาลปากเกร็ด","13,151","6,157","46.82","1,032","725","107","832","80.62","3,725","18,669"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0","0","0.00","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0","0","0.00","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0.00","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0","0","0.00","288","295"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0","0","0.00","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0","0","0.00","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0","0","0.00","302","456"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","17,122","2,805","16.38","4,950","5,382","-851","4,531","91.54","7,193","29,644"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0","0","0.00","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","1,049","648","61.77","180","110","29","139","77.22","624","3,173"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0","0","0","0.00","10,428","32,239"
"10761  :  โรงพยาบาลคลองหลวง","2,430","2,400","98.77","291","202","27","229","78.69","3,642","12,501"
"10762  :  โรงพยาบาลธัญบุรี","10,189","8,573","84.14","204","169","5","174","85.29","2,879","12,978"
"10763  :  โรงพยาบาลประชาธิปัตย์","6,221","6,013","96.66","691","739","-115","624","90.30","3,883","16,419"
"10764  :  โรงพยาบาลหนองเสือ","2,907","2,839","97.66","316","255","4","259","81.96","2,009","9,066"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,932","1,835","94.98","290","257","7","264","91.03","1,851","9,132"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0","0","0.00","2,241","11,528"
"10767  :  โรงพยาบาลสามโคก","1,521","1,342","88.23","246","200","15","215","87.40","977","4,928"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0","0","0.00","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0","0","0.00","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0","0","0.00","5,952","18,096"
"10688  :  โรงพยาบาลเสนา","1,553","184","11.85","196","165","4","169","86.22","4,323","19,474"
"10768  :  โรงพยาบาลท่าเรือ","6,698","2,891","43.16","925","741","14","755","81.62","2,609","11,042"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0.00","0","0","0","0","0.00","1,908","10,113"
"10770  :  โรงพยาบาลบางไทร","1,614","772","47.83","265","194","16","210","79.25","1,682","8,255"
"10771  :  โรงพยาบาลบางบาล","861","749","86.99","150","96","19","115","76.67","1,366","7,591"
"10772  :  โรงพยาบาลบางปะอิน","6,626","2,327","35.12","630","475","38","513","81.43","3,225","15,263"
"10773  :  โรงพยาบาลบางปะหัน","823","606","73.63","173","145","9","154","89.02","2,065","10,742"
"10774  :  โรงพยาบาลผักไห่","604","543","89.90","146","120","7","127","86.99","2,229","11,029"
"10775  :  โรงพยาบาลภาชี","3,116","2,766","88.77","466","389","15","404","86.70","1,838","10,498"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,217","749","61.54","131","104","6","110","83.97","1,521","6,326"
"10777  :  โรงพยาบาลวังน้อย","3,430","2,608","76.03","325","237","13","250","76.92","2,633","10,719"
"10778  :  โรงพยาบาลบางซ้าย","1,928","1,798","93.26","236","181","21","202","85.59","861","4,939"
"10779  :  โรงพยาบาลอุทัย","633","212","33.49","78","65","7","72","92.31","2,456","10,720"
"10780  :  โรงพยาบาลมหาราช","947","605","63.89","133","118","3","121","90.98","1,234","4,676"
"10781  :  โรงพยาบาลบ้านแพรก","646","489","75.70","105","99","1","100","95.24","754","4,526"
"10689  :  โรงพยาบาลอ่างทอง","744","708","95.16","140","123","1","124","88.57","5,336","24,994"
"10782  :  โรงพยาบาลไชโย","1,252","1,080","86.26","176","151","11","162","92.05","1,320","9,039"
"10784  :  โรงพยาบาลป่าโมก","2,142","1,169","54.58","331","239","24","263","79.46","1,662","15,906"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,641","1,453","88.54","285","172","32","204","71.58","2,242","12,888"
"10786  :  โรงพยาบาลแสวงหา","3,285","2,760","84.02","586","478","30","508","86.69","2,072","14,169"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","3,555","3,326","93.56","415","305","36","341","82.17","2,838","16,914"
"10788  :  โรงพยาบาลสามโก้","925","790","85.41","194","178","5","183","94.33","1,267","8,525"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","1","0","0","0","0.00","10,707","45,739"
"10691  :  โรงพยาบาลบ้านหมี่","1,199","396","33.03","201","163","2","165","82.09","4,175","22,400"
"10789  :  โรงพยาบาลพัฒนานิคม","4,045","2,793","69.05","645","543","15","558","86.51","3,379","15,465"
"10790  :  โรงพยาบาลโคกสำโรง","4,681","2,926","62.51","592","467","25","492","83.11","3,521","16,511"
