"วัคซีน","รวม","ปี พ.ศ. 2562","ปี พ.ศ. 2563"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"034, ดีทีพี กระตุ้น 1 (DTP4)","411,445","33,835","35,118","32,558","33,140","36,920","37,151","33,186","39,623","34,633","34,739","33,306","27,236"
"051, ไข้สมองอักเสบเจอี 1 (JE1)","17,637","2,007","2,003","1,605","1,653","1,494","1,344","1,131","1,486","1,260","1,195","1,241","1,218"
"052, ไข้สมองอักเสบเจอี 2 (JE2)","15,475","1,591","1,477","1,310","1,274","1,482","1,321","1,110","1,404","1,252","1,143","1,109","1,002"
"084, โอพีวี กระตุ้น 1 (OPV4)","411,539","33,746","35,185","32,624","33,256","36,970","37,053","33,155","39,639","34,616","34,718","33,299","27,278"
"D14, ดีทีพีฮิบ4 (DTP-Hib 4)","105","7","0","2","5","2","16","10","11","19","12","15","6"
"D24, ดีทีพีตับอักเสบบีฮิบ4 (DTP-HB+Hib  4)","1,000","66","84","73","110","100","95","65","74","108","70","83","72"
"D34, ดีทีพีไอพีวี4 (DTP-IPV 4)","54","4","2","0","3","3","6","6","12","6","3","5","4"
"D44, ดีทีพีไอพีวีฮิบ4 (DTP-IPV-Hib 4)","1,050","80","41","77","98","80","110","75","126","113","98","56","96"
"D54, ดีทีพีไอพีวีตับอักเสบบีฮิบ4 (DTP-IPV-HB-Hib4)","158","8","12","13","15","4","19","12","20","12","23","9","11"
"H14, ฮิบ4 (Hib4)","9","0","0","0","0","0","0","1","0","8","0","0","0"
"I14, ไอพีวี4 (IPV4)","54","12","5","4","4","8","1","4","1","6","5","2","2"
"J11, เจอีเชื้อเป็น1 (JE : Lived attenuated )","392,473","36,819","38,302","34,233","35,038","34,178","29,327","29,369","32,090","30,109","29,526","32,683","30,799"
"M12, เอ็มเอ็มอาร์วี2 (MMRV2)","270","21","17","21","21","26","18","38","29","30","24","11","14"
"P14, พีซีวีฮิบ4 (PCV-Hib4)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P24, พีซีวี4 (PCV4)","838","63","72","68","72","62","60","63","68","73","84","65","88"
