"สังกัด","จำนวน"
"สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","29,502"
"สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","3,989"
"สำนักงานส่งเสริมการศึกษานอกระบบและการศึกษาตามอัธยาศัย","7,257"
"สำนักงานคณะกรรมการการอาชีวศึกษา","881"
"สำนักงานคณะกรรมการการอุดมศึกษา","257"
"โรงเรียนมหิดลวิทยานุสรณ์","1"
"สถาบันระหว่างประเทศเพื่อการค้าและการพัฒนา  (องค์การมหาชน)","1"
"กรมส่งเสริมการปกครองท้องถิ่น","20,297"
"สำนักการศึกษา กรุงเทพมหานคร","437"
"มหาวิทยาลัย นวมินทราธิราช","2"
"เมืองพัทยา","13"
"ไม่พบในระบบรหัส","1"
"สถาบันวิชาการป้องกันประเทศ กองบัญชาการกองทัพไทย","1"
"สถาบันพลศึกษา","9"
"สถาบันบัณฑิตพัฒนศิลป์","16"
"สำนักงานพระพุทธศาสนาแห่งชาติ","407"
"กองบัญชาการตำรวจตระเวนชายแดน","173"
"ไม่พบในระบบรหัส","43"
