"เขตสุขภาพ","ผู้ป่วยที่อยู่ในเขตรับผิดชอบ Typearea 1,3","ผู้ป่วยที่มารับบริการของหน่วยบริการจากแฟ้ม ChronicFU"
"รวมทั้งหมด","ผู้ป่วยเบาหวานที่ไม่มีโรคร่วม","ผู้ป่วยเบาหวานที่มีโรคร่วม","รวมทั้งหมด","ผู้ป่วยเบาหวานที่ไม่มีโรคร่วม","ผู้ป่วยเบาหวานที่มีโรคร่วม"
"จำนวนผู้ป่วย(B1)","ได้รับการตรวจ","ร้อยละการตรวจ","ควบคุมได้ดี(A1)","ร้อยละควบคุมได้ดี(A1*100)/B1","จำนวนผู้ป่วย(D1)","ได้รับการตรวจ","ควบคุมได้ดี(C1)","ร้อยละควบคุมได้ดี(C1*100)/D1","จำนวนผู้ป่วย(F1)","ได้รับการตรวจ","ควบคุมได้ดี(E1)","ร้อยละควบคุมได้ดี(F1*100)/E1","จำนวนผู้ป่วย(B2)","ได้รับการตรวจ","ร้อยละการตรวจ","ควบคุมได้ดี(A2)","ร้อยละควบคุมได้ดี(A2*100)/B2","จำนวนผู้ป่วย(D2)","ได้รับการตรวจ","ควบคุมได้ดี(C2)","ร้อยละ(C2*100)/D2","จำนวนผู้ป่วย(F2)","ได้รับการตรวจ","ควบคุมได้ดี(E2)","ร้อยละ(F2*100)/E2"
"เขตสุขภาพที่ 1","328,965","155,490","47.27","64,527","19.62","308,053","145,279","57,418","18.64","20,912","10,211","7,109","33.99","294,774","139,289","47.25","56,807","19.27","275,950","130,787","50,976","18.47","18,824","8,502","5,831","30.98"
"เขตสุขภาพที่ 2","208,221","142,262","68.32","65,572","31.49","194,508","133,619","59,305","30.49","13,713","8,643","6,267","45.70","231,831","136,534","58.89","61,507","26.53","216,989","128,607","55,867","25.75","14,842","7,927","5,640","38.00"
"เขตสุขภาพที่ 3","175,133","129,695","74.06","62,113","35.47","168,329","124,907","58,587","34.81","6,804","4,788","3,526","51.82","221,719","137,398","61.97","64,585","29.13","212,200","132,144","60,749","28.63","9,519","5,254","3,836","40.30"
"เขตสุขภาพที่ 4","295,722","155,752","52.67","73,582","24.88","268,282","141,744","63,399","23.63","27,440","14,008","10,183","37.11","281,741","147,847","52.48","69,001","24.49","248,890","133,675","58,838","23.64","32,851","14,172","10,163","30.94"
"เขตสุขภาพที่ 5","305,146","167,237","54.81","77,749","25.48","281,112","155,834","69,478","24.72","24,034","11,403","8,271","34.41","323,313","167,312","51.75","77,479","23.96","297,613","155,112","68,618","23.06","25,700","12,200","8,861","34.48"
"เขตสุขภาพที่ 6","293,605","174,291","59.36","82,735","28.18","272,630","162,897","74,493","27.32","20,975","11,394","8,242","39.29","266,886","165,105","61.86","76,781","28.77","250,295","156,524","70,656","28.23","16,591","8,581","6,125","36.92"
"เขตสุขภาพที่ 7","315,033","194,266","61.67","65,945","20.93","281,858","175,575","54,437","19.31","33,175","18,691","11,508","34.69","389,858","197,732","50.72","66,160","16.97","346,315","178,694","54,601","15.77","43,543","19,038","11,559","26.55"
"เขตสุขภาพที่ 8","324,543","185,750","57.23","70,322","21.67","302,109","174,598","63,171","20.91","22,434","11,152","7,151","31.88","374,118","193,152","51.63","71,403","19.09","344,282","180,613","63,480","18.44","29,836","12,539","7,923","26.56"
"เขตสุขภาพที่ 9","351,786","243,600","69.25","100,020","28.43","326,342","227,679","89,246","27.35","25,444","15,921","10,774","42.34","420,534","256,771","61.06","104,889","24.94","392,530","241,951","94,933","24.18","28,004","14,820","9,956","35.55"
"เขตสุขภาพที่ 10","238,027","166,809","70.08","64,064","26.91","226,656","159,509","59,420","26.22","11,371","7,300","4,644","40.84","281,955","165,679","58.76","63,565","22.54","267,328","158,072","58,704","21.96","14,627","7,607","4,861","33.23"
"เขตสุขภาพที่ 11","213,285","137,462","64.45","64,172","30.09","202,602","131,035","59,602","29.42","10,683","6,427","4,570","42.78","228,977","142,457","62.21","65,688","28.69","217,431","136,088","61,205","28.15","11,546","6,369","4,483","38.83"
"เขตสุขภาพที่ 12","164,946","85,205","51.66","32,287","19.57","156,394","81,441","29,861","19.09","8,552","3,764","2,426","28.37","186,301","86,611","46.49","32,611","17.50","173,395","82,244","29,827","17.20","12,906","4,367","2,784","21.57"
"เขตสุขภาพที่ 13","0","0","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","412","123","29.85","67","16.26","359","106","54","15.04","53","17","13","24.53"
