name|url
"

"|#
|#
"
หน้าแรก
"|https://hdcservice.moph.go.th/hdc/index.php
"
กลุ่มรายงานมาตรฐาน

"|#
ข้อมูลทั่วไป|#
ประชากร|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=ac4eed1bddb23d6130746d62d2538fd0
ความครอบคลุมการมีหลักประกันสุขภาพโดยรัฐ|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=2dd52135c6fe0be88dc455a59202bcd5
บุคลากรสาธารณสุข|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=c11dad88f80061c70cd1ae96b500d017
จำนวนหน่วยงานสาธารณสุข|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=b415510618e13273b2f2918587f86e5d
ข้อมูลพื้นฐานและสรุปผู้รับบริการ|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=b91a30012c36ef54910261d9cfc6d7f5
โรงเรียนและนักเรียน|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=dc6012062b7e25f464da5f82f756e4ce
สถานะสุขภาพ|#
การป่วยด้วยโรคติดต่อที่สำคัญ|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=7f9ab56b0f39fd053143ecc4f05354fc
การป่วยด้วยโรคไม่ติดต่อที่สำคัญ|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=6a1fdf282fd28180eed7d1cfe0155e11
สาเหตุการป่วย/ตาย |https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=491672679818600345dc1833920051b2
งานวัณโรค|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=7a18700f863ca0f12e569688b0763db4
โรคจากการประกอบอาชีพและสิ่งแวดล้อม|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=f16421e617aed29602f9f09d951cce68
กลุ่มพระภิกษุ-สามเณร|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=6628306e55f95da4e791f1ddce220e9e
การป่วยด้วยโรคจากมลพิษทางอากาศ|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=9c647c1f31ac73f4396c2cf987e7448a
การเข้าถึงบริการ|#
การใช้บริการสาธารณสุข|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=9d8c311d6336373d40437c4423508cad
การเข้าถึงระบบบริการสุขภาพจิต|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=ea11bc4bbf333b78e6f53a26f7ab6c89
แพทย์แผนไทย|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=30bc6364fc06a33a7802e16bc596ac3b
แพทย์แผนจีน|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=e67da2428ef09faaa68d7e92d1becb51
ทันตกรรม(บริการ)|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9
CMI|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=833e9779725ef96bc06926d8ba4e4c04
เภสัชกรรม|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=05d5bbe615038819d80d798413f13c93
ต่างด้าว|https://hdcservice.moph.go.th/hdc/reports/page.php?cat_id=f05dcee246d3d761e4637d611d773cb6
