name|url
"
1. ร้อยละการตรวจติดตามยืนยันวินิจฉัยกลุ่มสงสัยป่วยโรคเบาหวาน"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=e9e461e793e8258f47d46d6956f12832"
"
2. อัตราผู้ป่วยเบาหวานที่ได้รับการตรวจไขมัน LDL และมีค่า LDL < 100 mg/dl3,024,278   992,785   32.83 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=248b7569c486ae7a01551bcb20bb15cf"
"
3. ร้อยละผู้ป่วยโรคเบาหวานที่ควบคุมระดับน้ำตาลได้ดี3,024,077   889,591   29.42 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=137a726340e4dfde7bbbc5d8aeee3ac3"
"
4. ร้อยละของผู้ป่วยเบาหวานที่มีความดันโลหิตควบคุมได้ตามเกณฑ์3,024,278   1,996,514   66.02 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=ac9019f14a00b66984dd9efc3afc06a6"
"
5. ร้อยละของผู้ป่วยเบาหวานที่มีภาวะอ้วน [BMI >= 25 กก./ตร.ม.)] ลดลงจากงบประมาณที่ผ่านมา"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=735890fbb28aa2989052648af8cb4600"
"
6. ร้อยละของการเกิดภาวะแทรกซ้อนเฉียบพลันในผู้ป่วยเบาหวาน3,024,077   72,301   2.39 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=b06544333648315e83c83445a62dd94e"
"
7. ร้อยละของผู้ป่วยเบาหวานรายใหม่ลดลง"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=bf3fc18d99d7366fc8ee1978835a6865"
"
8. ร้อยละการตรวจติดตามกลุ่มสงสัยป่วยโรคความดันโลหิตสูง802,771   553,302   68.92 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=28ee19915688d2b19f474506c7c31d67"
"
9. ร้อยละผู้ป่วยโรคความดันโลหิตสูงที่ควบคุมความดันโลหิตได้ดี6,318,545   3,703,172   58.61 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=2e3813337b6b5377c2f68affe247d5f9"
"
10. ร้อยละของผู้ป่วย DM และ/หรือ HT ที่ได้รับการค้นหาและคัดกรองโรคไตเรื้อรัง5,513,731   3,448,982   62.55 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=kpi/kpi_ckd2.php&id=0f6df79c2f8887f50d7879b5fe91c080"
"
11. ร้อยละของผู้ป่วยเบาหวาน และ/หรือ ความดันโลหิตสูงที่มี CVD Risk ≥ 20% หลังได้รับการปรับเปลี่ยนความเสี่ยงแล้วมี CVD Risk ลดลง43,343   20,895   48.21 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=cb65de9ec5fa4e5987b43da669b2280d"
"
12. ร้อยละของผู้ป่วยเบาหวาน และ/หรือ ความดันโลหิตสูง ที่เป็น CKD 3-4 ชะลอการลดลงของ eGFR ได้ตามเป้าหมาย602,919   397,739   65.97 "|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=9
			&flag_kpi_year=2020&source=pformated/format1.php&id=752f4de6e90d3e41b3cb8f8104b2e8bd"
