name|url
1. อัตราการใช้บริการผู้ป่วยนอก จำแนกกลุ่มสิทธิ (ครั้งต่อคนต่อปี) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=4b35d96e225bf34a16774b13705250f4
2. อัตราการใช้บริการผู้ป่วยใน จำแนกกลุ่มสิทธิ (วันต่อคน) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=aebf36f508889ee1ecba12cd56159956
3. อัตราการใช้บริการผู้ป่วยนอก ทุกสิทธิ (ครั้งต่อคนต่อปี) รายเดือน|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=92a705c26f22754d7462e9f742436b6f
4. อัตราการใช้บริการผู้ป่วยใน ทุกสิทธิ รายเดือน (วันต่อคนและอัตราครองเตียง)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=39afb27f0e1256396e6a972716d20e2e
5. อัตราการใช้บริการผู้ป่วยนอกของประชากรไทย (ครั้งต่อคนต่อปี) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/opd.php&cat_id=9d8c311d6336373d40437c4423508cad&id=c8a139305c94a90d7b4a65cef5c8d8e7
6. อัตราการใช้บริการผู้ป่วยในของประชากรไทย (วันต่อคน)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/ipd.php&cat_id=9d8c311d6336373d40437c4423508cad&id=be74f26c4e773f13f6076d7e901324b3
7. KPI จังหวัด ร้อยละการใช้บริการของประชาชนในเขตรับผิดชอบใช้บริการผู้ป่วยนอก(OPD)ที่หน่วยบริการปฐมภูมิ |https://hdcservice.moph.go.th/hdc/reports/report.php?source=kpi/kpi1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=4ff86c66762cf5a37e04c12c8ab08752
8. รายงานการส่งต่อระหว่างสถานพยาบาล|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=38e40477e601acfba24653ceb9021cd3
9. ร้อยละการส่งต่อผู้ป่วยนอกเขตสุขภาพลดลง|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/referout_kpi.php&cat_id=9d8c311d6336373d40437c4423508cad&id=38e40477e601acfba24653ceb9021cd4
10. รายงานอุบัติเหตุทางถนน |https://hdcservice.moph.go.th/hdc/reports/report.php?source=accident/accident1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=e4a6299a408fe53ba1ce003e22240d7b
11. รายงานอุบัติเหตุทางถนน จำแนกตามสถานที่เกิดเหตุและประเภทผู้บาดเจ็บ|https://hdcservice.moph.go.th/hdc/reports/report.php?source=accident/accident2.php&cat_id=9d8c311d6336373d40437c4423508cad&id=3f97a68cfb9dd74428d94a08ceb59c0e
12. รายงานอุบัติเหตุทางถนน จำแนกตามประเภทยานพาหนะที่เกิดเหตุ|https://hdcservice.moph.go.th/hdc/reports/report.php?source=accident/accident3.php&cat_id=9d8c311d6336373d40437c4423508cad&id=fa7fcf7f29cb374f6c4ee6e86b114200
13. รายงานอุบัติเหตุทางถนน จำแนกตามปัจจัยเสี่ยง|https://hdcservice.moph.go.th/hdc/reports/report.php?source=accident/accident4.php&cat_id=9d8c311d6336373d40437c4423508cad&id=45055c550ef5587953ff9d7924034cd0
14. รายงานจำนวนผู้เข้ารับการบำบัดบุหรี่/ผู้ดื่มเครื่องดื่มแอลกอฮอล์ ในสถานบริการ|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/alcoholic.php&cat_id=9d8c311d6336373d40437c4423508cad&id=36203bcbf14fbe8f1906497ae8f5c0a5
15. อัตราการเสียชีวิตของผู้ป่วยวิกฤตฉุกเฉิน (triage level 1) ภายใน 24 ชั่วโมง ในโรงพยาบาลระดับ A, S, M1 (ทั้งที่ ER และ Admit) น้อยกว่าร้อยละ 1 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=4709220e55ae6c91c872e08b4ac2498c
16. โรคติดเชื้อระบบทางเดินหายใจที่สำคัญ (รายวัน)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=76e909d7af59d6ddc3fe11ebe25dad4d
17. ข้อมูลรายโรคที่มีความสัมพันธ์กับพฤติกรรม การล้างมือ การสวมหน้ากากอนามัย/หน้ากากผ้า จำแนกรายเดือน เปรียบเทียบ 3 ปีย้อนหลัง|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=9d8c311d6336373d40437c4423508cad&id=e8b647ca3960f0fda1e64be0d4f0a684
