name|url
"1. ผู้ป่วยนอกที่รับบริการทางทันตกรรม รวมทุกสิทธิ์ (คนต่อสถานบริการ)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=cba4cc41872398d244dde8e2604c1fda
"2. ผู้ป่วยนอกที่รับบริการทางทันตกรรม รวมทุกสิทธิ์ (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=1b7a1fcbcd6cc2abae4c26d17d2b7045
"3. ผู้ป่วยนอกที่รับบริการทางทันตกรรม รวมทุกสิทธิ์ (ครั้ง) โดยทันตบุคลากร"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=43b53d1950da4739e9a7f8ee4b0d25d2
"4. รายงานผู้ป่วยนอกที่รับบริการทางทันตกรรม (ครั้งต่อคนต่อปี) แยก 4 สิทธิ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=960aa7aeaa407980c00b16f99d47fe80
"5. รายงานผู้ป่วยนอกที่รับบริการทางทันตกรรม ในผู้มีอายุ 15-59 ปี แยกรายสิทธิ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=3d89d7b2e236d60d2e02ad969db4f6ea
"6. ผู้ป่วยในที่รับบบริการทางทันตกรรม รวมทุกสิทธิ์ (visit)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_visit.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=2db90b3f093514c004d529873cfe7311
"7.1. ตรวจสุขภาพช่องปาก ในหญิงตั้งครรภ์โดยทันตบุคลากร (คน)(dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=bad85a1fd646261494b89458d42425a6
"7.2. การตรวจช่องปากหญิงตั้งครรภ์ (นับรวมการตรวจทั้งทันตบุคลากรและเจ้าหน้าที่สาธารณสุขอื่น) (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=e3944f850090f92470a9aaebc92e044b
"7.3. ฝึกแปรงฟันแบบลงมือปฏิบัติ และฝึกแปรงฟันแบบลงมือปฏิบัติ รวมกับ plaque control ในหญิงตั้งครรภ์ (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=4ddeb565dc9aafeeea9424bacc46ab99
"7.4. กลุ่มหญิงตั้งครรภ์ ได้รับบริการทันตกรรม (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=5b46c99658566db8897309832ac3aba0
"8.1. การตรวจช่องปากเด็ก 0-2 ปีโดยทันตบุคลากร (คน)(dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_personanddental.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=08d03b47087f5cfa3d1cfdcdd4d7e4b7
"8.2. การตรวจช่องปากเด็ก 0-2 ปี (นับรวมการตรวจทั้งทันตบุคลากรและเจ้าหน้าที่สาธารณสุขอื่น) (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=f63dbfe90b55fe84b6fc52be61aa3489
"8.3. ฝึกแปรงฟันแบบลงมือปฏิบัติ ในผู้ปกครองเด็ก 0-2 ปี(คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=a147dc96ef47708338ddb2bcc15d0549
"8.4. เคลือบ/ทา ฟลูออไรด์ในเด็ก 0-2 ปี(คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=af6f60e19442048ac0abca7b8a7aa7a2
"8.5. เคลือบ/ทา ฟลูออไรด์ในเด็ก 0-2 ปี(ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=b7b888d136a807031d4fd3e8719607f6
"8.6. กลุ่มเด็ก 0-2 ปี ได้รับบริการทันตกรรม (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=e49edccc9dadc637ebf38af2577d05f6
"9.1. การตรวจช่องปากเด็ก 3-5 ปีโดยทันตบุคลากร (คน)(dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_personanddental.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=5e7a19bfa7c910848977f72acf986b4a
"9.2. เคลือบ/ทา ฟลูออไรด์ในเด็ก 3-5 ปี(คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=33f0c0f736920e47abfa777a4041b330
"9.3. เคลือบ/ทา ฟลูออไรด์ในเด็ก 3-5 ปี(ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=81a4ac535652165557b5724db2096f8f
"9.4. กลุ่มเด็ก 3-5 ปี ได้รับบริการทันตกรรม (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=5e46da552b454a82719892eff8c4bb4f
"10.1. ตรวจสุขภาพช่องปาก ในเด็กอายุ 6-12 ปีโดยทันตบุคลากร (คน) (dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=8bbbc8c747ba9e8c508b85efbda7f2a3
"10.2. การเคลือบหลุมร่องฟันในเด็กอายุ 6 -12 ปี (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=b2718517f902c423912505c2e0fe1d4f
"10.3. การเคลือบหลุมร่องฟันในเด็กอายุ 6 -12 ปี (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=9403e69ad3b24cd2ebc1bfbd9bdcdfc8
"10.4. กลุ่มเด็ก 6-12 ปี ได้รับบริการทันตกรรม (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=79711464fb275ca129b6b20b337b79a6
"11.1. การตรวจช่องปากกลุ่มก่อนวัยสูงอายุ โดยทันตบุคลากร (คน)(dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=413464f789a6be987e1f2e11b7f3f476
"11.2. ฝึกแปรงฟันแบบลงมือปฏิบัติ ในกลุ่มก่อนวัยสูงอายุ (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=07cac6080468ccf6320183cda6550816
"11.3. เคลือบ/ทา ฟลูออไรด์ในกลุ่มก่อนวัยสูงอายุ (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=add078b0a651d0ca5ed15cd06fffdc7c
"11.4. กลุ่มก่อนวัยสูงอายุ ได้รับบริการทันตกรรม (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=842611a54f051a1408cdb3e18e6db6ab
"12.1. การตรวจช่องปากผู้สูงอายุโดยทันตบุคลากร (คน)(dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_personanddental.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=a9bc16db8bbe196a8e978548c00db398
"12.2. ฝึกแปรงฟันแบบลงมือปฏิบัติ ในผู้สูงอายุ (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=979d1400441050364574f670e2d65ccc
"12.3. เคลือบ/ทา ฟลูออไรด์ในผู้สูงอายุ(คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=9c2940d713e4214b978db018b68bf740
"12.4. กลุ่มผู้สูงอายุ ได้รับบริการทันตกรรม (คน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=2ff4c677be8f87c1a5c67b1cc5b9c330
"13.1. ตรวจสุขภาพช่องปากรวมทุกกลุ่ม ตรวจเพื่อวางแผน รักษา และประเมินผลโดยทันตบุคลากร (คน)(dental)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_1.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=9e862d9436e961c128d97f4e262a4837
"13.2. ฝึกแปรงฟันแบบลงมือปฏิบัติ และฝึกแปรงฟันแบบลงมือปฏิบัติ และplaque control (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=68d529a31d62f8e340e56fffd8115df6
"13.3. การเคลือบหลุมร่องฟัน (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=85df5c91e2737b48b07171862414946d
"13.4. ให้ฟลูออไรด์(ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=1a2e3949b7d0fb92234973362ad74f0f
"13.5. PRR (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=903b90805c20f4d41aac61dd2d411903
"13.6. ขูดหินปูน (ครั้ง)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=dental/dental_time.php&cat_id=fc73b811eb6d9206e7e5baf8ad20d7b9&id=074901ff61905cc5b87773f7bd63fb26
