name|url
1. การคัดกรองความดันโลหิตสูง ในประชากรไทย จำแนกกลุ่มอายุ|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=68e401815a64e624c286d97ef3582aa3
2. ประชากร 35 ปีขึ้นไปได้รับการคัดกรอง และเสี่ยงต่อโรคความดันโลหิตสูง |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=6833128a5d76a6afcae3e4a6af0e718c
3. การเข้าถึงบริการและการคัดกรองโรคความดันโลหิตสูง |https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/visit_screen_ht.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=726942e401ef74754a45cd15f30ed02e
4. การคัดกรองเบาหวานในประชากรไทย จำแนกกลุ่มอายุ|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=150edaa99ecbe538378b8150e0776763
5. ประชากร 35 ปีขึ้นไปได้รับการคัดกรอง และเสี่ยงต่อโรคเบาหวาน |https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/screen_risk.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=323a75335033c5976566d99f5ad53b33
6. การเข้าถึงบริการและการคัดกรองโรคเบาหวาน |https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/visit_screen_dm.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=d7e91cec5aca74419bd84b1da4dc266f
7. อัตราการคัดกรองมะเร็งปากมดลูกในสตรีอายุ 30 - 60 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=4eab25b045dc0a9453d85c98dc2fdef0
8. อัตราการคัดกรองมะเร็งเต้านมในสตรีอายุ 30 - 70 ปี |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=308526013808e90ce8f30d66e3b5ad82
9. ความชุกผู้บริโภคเครื่องดื่มแอลกอฮอล์ในประชากรอายุ 15 - 19 ปี |https://hdcservice.moph.go.th/hdc/reports/report.php?source=kpi/kpi_dent.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=68345e9bd757bdbf07d0d7fc71bee68f
10. ร้อยละของ Healthy Ageing|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=bbcb40adb960e0564efba686c316c009
11. จำนวนผู้สูงอายุในเขตพื้นที่รับผิดชอบ จำแนกตามความสามารถในการทำกิจวัตรประจำวัน |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=953a2fc648be8ce76a8115fbb955bb51
12. การคัดกรองผู้สูงอายุ 10 เรื่อง|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=df0700e8e3c79802b208b8780ab64d61
13. ร้อยละผู้สูงอายุได้รับการคัดกรองภาวะการถดถอยด้านสุขภาพ ที่ได้จัดทำ Care Plan และได้รับ Intervention อย่างน้อย 1 กิจกรรม |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=31eee269d29117b904186d1018e6f4b7
14. การคัดกรองผู้สูงอายุ 9 ด้าน|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=aa86b13e8cb60cae6c3216b7e3e5f151
15. ผลการติดตามผู้สูงอายุ ที่พบมีภาวะความถดทอย/พบความเสี่ยง ใน STEP1,2|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=6966b0664b89805a484d7ac96c6edc48&id=2e364f3c64aac2407c08fbcea0598d24
