name|url
1. ร้อยละของเด็กแรกเกิด - ต่ำกว่า 6 เดือน กินนมแม่อย่างเดียว201,841   124,762   61.81 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=4164a7c49fcb2b8c3ccca67dcdf28bd0
2. ร้อยละหญิงตั้งครรภ์ได้รับยาเม็ดเสริมไอโอดีน ธาตุเหล็ก และกรดโฟลิก391,259   316,335   80.85 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=422edc9d4d81d5c943a8ca9029f20e78
3. ร้อยละของเด็กอายุ 0-5 ปี สูงดีสมส่วน และส่วนสูงเฉลี่ยที่อายุ 5 ปี|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=67e41dbb1ce5d844d49f6b7b10e30d01
4. ร้อยละเด็กปฐมวัยมีภาวะเตี้ย (Work Load)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=764b2e63b0ca3754f85e7b8b2cc5e9f9
5. ร้อยละเด็กปฐมวัยมีภาวะผอม (Work Load)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=4067e70ea9a7b37cb6ecc32ec3bd686b
6. เด็กปฐมวัยมีภาวะอ้วน ไม่เกินร้อยละ 10 (Work Load)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=d448e02a391064fe1ae015c7f8d3b26c
7. ร้อยละของเด็กอายุ 6 - 14 ปี สูงดีสมส่วน|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=e28682b2718e6cc82b8dbb3e00f2e28e
8. ร้อยละวัยรุ่น 15-18 ปี สูงดีสมส่วน|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=9b019d9cc12576000e6e84acfb9ad7f0
9. การเฝ้าระวังอัตราการคลอดมีชีพในหญิงอายุ 10-14 ปี1,469,444   475   0.32 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=df9f540b5d9e30948ffa2d0f4fd88a82
10. การเฝ้าระวังอัตราการคลอดมีชีพในหญิงอายุ 15-19 ปี1,533,366   13,015   8.49 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=1336d766d29c4a739ed33ff9f4e79d83
11. ร้อยละของการตั้งครรภ์ซ้ำในหญิงอายุน้อยกว่า 20 ปี 20,096   2,835   14.11 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=4f7d8042fb0a064b25f29a48f6ccd23f
12. ร้อยละของประชากรวัยทำงานตอนกลาง อายุ 30-44 ปี มีค่าดัชนีมวลกายปกติ5,085,028   2,560,473   50.35 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=e2d0b1a802a956529b7d1d0f9516313f
13. OHSP ร้อยละของผู้สูงอายุ ที่มีฟันแท้ใช้งานได้ไม่น้อยกว่า 20 ซี่1,723,468   1,084,790   62.94 |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=bebf866fceaef84c4078965eaf619565&id=0317b7abf99b89c45555e97e19c4cb21
