name|url
"
 1.1. ภาวะโลหิตจางในหญิงตั้งครรภ์"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=9024b8ee2bd07548c8f12517eb3021e6
"
 1.2. ภาวะโลหิตจางในหญิงตั้งครรภ์อายุครรภ์ 32-34 สัปดาห์"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=25ffbd4bcf049baa8a8a7a6c2caeadc7
"
 1.3. ร้อยละหญิงตั้งครรภ์ได้รับยาเม็ดเสริมไอโอดีน ธาตุเหล็ก และกรดโฟลิก  "|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=422edc9d4d81d5c943a8ca9029f20e78
"
 1.4. ความครอบคลุมการได้รับยาเม็ดเสริมไอโอดีน ธาติเหล็ก และกรดโฟลิก ของหญิงตั้งครรภ์ในเขตรับผิดชอบ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=14b660d6a0005a2f788a1d73e3200df0
"
 1.5. อายุครรภ์เฉลี่ยของหญิงตั้งครรภ์ได้รับการฝากครรภ์ครั้งแรกเมื่ออายุครรภ์ ≤ 12 สัปดาห์ "|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=160d649b43bf6cc6583f07142a24d1e0
"
 1.6. ร้อยละของหญิงที่คลอดบุตรแล้วในเขตรับผิดชอบมีภาวะโลหิตจาง"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=9ed3d3e2961560d99f6ff49844c46235
"
 2.1. ร้อยละของเด็ก 0 – 2 ปี สูงดีสมส่วน และส่วนสูงเฉลี่ยเด็กอายุ 2 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=df12bdd1a98ec0306ad71b914356f313
"
 2.2. ภาวะโภชนาการของเด็กอายุ 0 - 2 ปี ดัชนีน้ำหนักตามเกณฑ์อายุ "|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=bd1e229567f454e624876b24b994644a
"
 2.3. ภาวะโภชนาการของเด็กอายุ 0 - 2 ปี ดัชนีส่วนสูงตามเกณฑ์อายุ (ภาวะเตี้ย)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=b353351a93d62075b234e3fee545e328
"
 2.4. ภาวะโภชนาการของเด็กอายุ 0 - 2 ปี ดัชนีน้ำหนักตามเกณฑ์ส่วนสูง (ภาวะผอม สมส่วน ภาวะเริ่มอ้วนและอ้วน)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=8189e9a96e80298c71924cc2cab4bcb6
"
 3.1. ร้อยละของเด็ก 3 – 5 ปี สูงดีสมส่วน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=b86aa996a4d38717de811ed5d04663d5
"
 3.2. ภาวะโภชนาการของเด็กอายุ 3 - 5 ปี ดัชนีน้ำหนักตามเกณฑ์อายุ "|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=d4f510737ccd17103cc998cdf8a92d05
"
 3.3. ภาวะโภชนาการของเด็กอายุ 3 - 5 ปี ดัชนีส่วนสูงตามเกณฑ์อายุ (ภาวะเตี้ย)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=46522b5bd1e06d24a5bd81917257a93c&id=c66a04de8deffe6d6f7cfd7422006545
