name|url
"2.1. ร้อยละของเด็กอายุ 0-5 ปี สูงดีสมส่วน และส่วนสูงเฉลี่ยที่อายุ 5 ปี"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=67e41dbb1ce5d844d49f6b7b10e30d01"
"2.2. ร้อยละของเด็กอายุ 0-5 ปี ทั้งหมดตามช่วงอายุที่กำหนดมีพัฒนาการสมวัย"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=1b60d68b1cb5b003fcba38a4a0e4027b"
"13.1. ร้อยละการตรวจติดตามยืนยันวินิจฉัยกลุ่มสงสัยป่วยโรคเบาหวาน"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=e9e461e793e8258f47d46d6956f12832"
"13.2. ร้อยละการตรวจติดตามยืนยันวินิจฉัยกลุ่มสงสัยป่วยโรคความดันโลหิตสูง"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=b57439ff27302ade8c38d1dd189644a4"
"25.1. อัตราตายของผู้ป่วยโรคหลอดเลือดสมอง (Stroke :I60-I69)"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=7ac059f4e4e3d08750d2ee23600556af"
"25.2. อัตราตายของผู้ป่วยโรคหลอดเลือดสมองแตก (Hemorrhagic Stroke: I60-I62)"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=db98b653287b753aab3b86222589f12e"
"25.3. อัตราตายของผู้ป่วยโรคหลอดเลือดสมองตีบ/อุดตัน (Ischemic Stroke: I63)"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=fc4ef4b0a87cd045a5d9defa44f15de8"
"31. อัตราตายทารกแรกเกิด อายุน้อยกว่าหรือเท่ากับ 28 วัน"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=0acbbb84a5c774c129dfc849a742d766"
"32. ร้อยละการดูแลผู้ป่วยระยะท้ายแบบประคับประคอง มีกิจกรรม Family Meeting และมีการทำ Advance Care Planning (ACP) ร่วมกับผู้ป่วยและครอบครัว"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=a67ee74a4c0ff3c775b591be4ec80086"
"33. ร้อยละของผู้ป่วยนอกได้รับบริการการแพทย์แผนไทยและการแพทย์ทางเลือก [นับรวมแผนจีน(U78x - U79x) แต่ไม่นับรวม U77x]"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=50980b81323b2978d9ed4c4b353c58bc"
"34. ร้อยละของผู้ป่วยโรคซึมเศร้าเข้าถึงบริการ"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/formatg.php&id=706b605192b49d385ba044350af9c46a"
"35. อัตราการฆ่าตัวตายสำเร็จ"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/formatg.php&id=f98aa818686df571817c33e0168966a2"
"36. อัตราตายผู้ป่วยติดเชื้อในกระแสเลือดแบบรุนแรงชนิด community-acquired"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=00366a85bd3c2b6932a228df29137252"
"38.1. อัตราตายของผู้ป่วยโรคกล้ามเนื้อหัวใจตายเฉียบพลันชนิด STEMI"|"https://hdcservice.moph.go.th/hdc/reports/report_kpi.php?flag_kpi_level=1&flag_kpi_year=2022&source=pformated/format1.php&id=9fb3a84cf0feae3615a63f476252bf34"
