name|url
1. ร้อยละการใช้ยาปฏิชีวนะในโรคติดเชื้อที่ระบบการหายใจช่วงบนและหลอดลมอักเสบเฉียบพลันในผู้ป่วยนอก ระดับโรงพยาบาล (RI) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=d8fa7339c10c7eccd02529be81ebb8a5
2. ร้อยละการใช้ยาปฏิชีวนะในโรคอุจจาระร่วงเฉียบพลันในผู้ป่วยนอก ระดับโรงพยาบาล (AD) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=b307f1d136925d2c20940e5cc9c49ec7
3. ร้อยละการใช้ยาปฏิชีวนะในบาดแผลสดจากอุบัติเหตุ ระดับโรงพยาบาล (FTW) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=1fa1fd876237284f018ec8356cad29b1
4. ร้อยละการใช้ยาปฏิชีวนะในหญิงคลอดปกติครบกำหนดทางช่องคลอด ระดับโรงพยาบาล (APL) |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=bafab2dfb51f4042a3af4297a7a9fc8d
5. ร้อยละของผู้ป่วยความดันสูง (Essential hypertension) ที่ใช้ RAS blockade (ACEI-ARB-Renin inhibitor) 2 ชนิดร่วมกันในการรักษาภาวะความดันเลือดสูง |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=b4f7ec19819d99dc5bd04ae1815befdf
6. ร้อยละของผู้ป่วยนอกโรคเบาหวานที่ใช้ยา metformin เป็นยาชนิดเดียวหรือร่วมกับยาอื่นเพื่อควบคุมระดับน้ำตาล โดยไม่มีข้อห้ามใช้|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=b122a679459b573dcc7cd08875ba1702
7. ร้อยละของผู้ป่วยที่มีการใช้ยากลุ่ม NSAIDs ซ้ำซ้อน|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=3214dc5ebe2f388fbbcda2d773808425
8. ร้อยละของผู้ป่วยนอกโรคไตเรื้อรังระดับ 3 ขึ้นไปที่ได้รับยา NSAIDs|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=b06c7547eb3aa2cb735999bfee7e0eee
9. ร้อยละของผู้ป่วยนอกโรคหืดที่ได้รับยา inhaled corticosteroid|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=47a308b8cf31ef367bbfb0fe0fab8dd5
10. ร้อยละผู้ป่วยนอกสูงอายุที่ใช้ยากลุ่ม long-acting benzodiazepine ได้แก่ chlordiazepoxide, diazepam, dipotassium chlorazepate|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=e135d389fb049056ceb26d85668358ab
11. จำนวนสตรีตั้งครรภ์ที่ได้รับยาที่ห้ามใช้ ได้แก่ยา Warfarin หรือ Statins หรือ Ergots เมื่อรู้ว่าตั้งครรภ์แล้ว |https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=c38867aa715186862bbd55b35de4082b
12. ร้อยละครั้งบริการ (visit) ผู้ป่วยเด็ก ที่ได้รับการวินิจฉัยเป็นโรคติดเชื้อของทางเดินหายใจ และได้รับยาต้านฮิสตามีนชนิด non-sedating|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=79b7ac5f1354e27ae9f5a71af99189b9
13. ร้อยละของโรงพยาบาล ส่งเสริมการใช้ยาอย่างสมเหตุผล|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=0c4225465bf3b70c7359af42b8775ef6
14. ร้อยละการใช้ยาปฏิชีวนะในโรคติดเชื้อที่ระบบการหายใจช่วงบนและหลอดลมอักเสบเฉียบพลันในผู้ป่วยนอก ระดับ รพ.สต.(RI - PCU)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=d1ccec314e92875acb5142769eb479a2
15. ร้อยละการใช้ยาปฏิชีวนะในโรคอุจจาระร่วงเฉียบพลันในผู้ป่วยนอก ระดับ รพ.สต. (AD - PCU)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=2103caa0f068d4575720600d78d5ad65
16. ร้อยละของรพ.สต.ที่มีอัตราการใช้ยาปฏิชีวนะในโรค Respiratory Infection และ Acute Diarrhea <= ร้อยละ20 ทั้ง 2 โรค (RUA PCU)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=3328a9e3fe40877c45860265035e2412
17. ค่า Defined Daily Dose (DDD) ของยาปฏิชีวนะชนิดรับประทานต่อ 1000 OP Visit แยกตามชื่อสามัญทางยา (Generic name)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=ecb7af2dc881088d964f827317a563f4
18. ค่า Defined Daily Dose (DDD) ของยาปฏิชีวนะชนิดรับประทานต่อ 1000 OP Visit แยกตามกลุ่มยา (Class)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=63c6046a389a3cd9c69a432cf0ae783b
19. ค่า Defined Daily Dose (DDD) รวมของยาปฏิชีวนะชนิดรับประทานทุกรายการต่อ 1000 OP Visit|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=d8703771dee4e2f956ca7ba53abaae61
20. ค่า Defined Daily Dose (DDD) ของยาปฏิชีวนะชนิดฉีดที่ใช้ในผู้ป่วยที่รับไว้รักษาในโรงพยาบาล (Admit) ต่อ 100 วันนอน แยกตามชื่อสามัญทางยา (Generic name)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=343b3670ccb93a18bcc1951a41d239f5
21. ค่า Defined Daily Dose (DDD) ของยาปฏิชีวนะชนิดฉีดที่ใช้ในผู้ป่วยที่รับไว้รักษาในโรงพยาบาล (Admit) ต่อ 100 วันนอน แยกตามกลุ่มยา (Class)|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=d58534279f78467bea5e48ae9cbd28ef
22. ค่า Defined Daily Dose (DDD) รวมของยาปฏิชีวนะชนิดฉีดทุกรายการที่ใช้ในผู้ป่วยที่รับไว้รักษาในโรงพยาบาล (Admit) ต่อ 100 วันนอน|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=03b912ab9ccb4c07280a89bf05e5900e&id=36908f9f21f62f1acef7b2ea9fdefa5f
