name|url
"5. ผู้ป่วยโรคซึมเศร้าเข้าถึงบริการ(workload)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=61a59cc4548076dfa9efdc0ecb86f91b
"6. ผู้ป่วยโรคจิตเภทเข้าถึงบริการ(workload)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=31ad3425df7840afe354735d7d2ba957
"7. ผู้ป่วยโรคสมาธิสั้นเข้าถึงบริการ(workload)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=90ccfbfd92f7d1bdd89d0cfd8b4e46ec
"8. ผู้ป่วยโรคออทิสติกเข้าถึงบริการ(workload)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=c3cbb49f45fb12d02ff0eb813e9e6279
"9. จำนวนผู้ป่วยนอกจิตเวชที่มารับบริการจำแนกรายกลุ่มโรคและสิทธิ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format_fix_col2.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=67ce3cd10f4ed5d2b3517f1373ef273d
"10. จำนวนผู้ป่วยในจิตเวชที่มารับบริการจำแนกรายกลุ่มโรคและสิทธิ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format_fix_col2.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=8a173a9de38de5c0172953d4ebcdcb09
"14. ร้อยละของผู้ป่วยโรคจิตเภทได้รับการรักษาต่อเนื่องภายใน 6 เดือน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=e8e6d6e5a088228680d4be573d712de0
"15. ร้อยละของผู้ป่วยโรคจิตเภทได้รับการรักษาต่อเนื่องภายใน 6 เดือน(หน่วยงานสังกัดกรมสุขภาพจิต)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=33c566bc6ad364c6e805339a286e1150
"16. ร้อยละของผู้ป่วยโรคจิตเภทได้รับการรักษาต่อเนื่องภายใน 6 เดือน(Reverse )"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=70404ef102ed96de4e2914e2facb67a2
"17.1. ร้อยละผู้ป่วยจิตเวชที่มีความเสี่ยงสูงต่อการก่อความรุนแรง (SMI-V) ไม่ก่อความรุนแรงซ้า"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=1b64b51e4bf2edb57d2ddd1c316d48b1
"17.2. ร้อยละผู้ป่วยจิตเวชที่มีความเสี่ยงสูงต่อการก่อความรุนแรง (SMI-V) ไม่ก่อความรุนแรงซ้ำ(เฉพาะหน่วยงานกรมสุขภาพจิต)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=73095e5466539704072ef720f3a40c41
"18. (SMI-V) yr before and yr now (only)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=4c421f7f8b8294dcb47404b028fa05f9
"19.1. (SMI-V) follow care monitoring (Workload)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=f76033a904fdd49edb0f99657b44550c
"19.2. (SMI-V) follow care monitoring (workload เฉพาะหน่วยงานกรมสุขภาพจิต)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=d45ada263c558e8eeb82b2954e7a9add
"20. จำนวนผู้ป่วยจิตเวชที่มีความเสี่ยงต่อการก่อความรุนแรง (SMI-V)ที่มารับบริการในปีงบประมาณ(คนต่อสถานพยาบาล) จำแนกตามการวินิจฉัย"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=342c01cf6fd12450b7271740642df5a3
"21.2. ร้อยละของผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกกฤทธิ์ต่อจิตประสาท จำแนกตามสถานพยาบาล (workload)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=4b2cd479a6c870d9691a272337164dd1
"22.1. จำนวนและร้อยละของผู้ใช้บริการที่มีความผิดปกติทางจิตและพฤติกรรม และผู้ที่ตั้งใจทำร้ายตนเองและถูกทำร้าย จำแนกตามเพศและกลุ่มอายุ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=22710ed5db1ed6b12aab540a7b0753b3&id=5add72ba460b126be0929c21667c0636
