name|url
"1.1. การส่งต่อผู้ป่วย สาขาสูติกรรม จากรพช.แม่ข่าย (M2)Refer out ไป รพศ. รพท. ลดลง"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=kpi/kpi_sp5.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=ba39acd8980503ac2a5dd5ac492b21a5
"1.2. ร้อยละของผู้ป่วยที่ได้รับการผ่าตัดคลอดในโรงพยาบาลระดับ M2"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/formatg.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=2ccc38fd75fbcf1037eacebaf991f165
"1.3. ร้อยละของมารดาตายจากการตกเลือดหลังคลอด"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=60fbad7694636457cdb95f5615f65424
"2.1. การส่งต่อผู้ป่วย สาขากุมารเวชกรรม จากรพช.แม่ข่าย (M2)Refer out ไป รพศ. รพท. ลดลง"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=kpi/kpi_sp5.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=2034b7f35a00a434c03c9d56935d05e5
"2.2. อัตราป่วยตายโรคปอดบวมในเด็กไทย อายุ 1 เดือนถึง 5 ปีบริบูรณ์ ลดลงร้อยละ 10"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=7e5ba3f0ff6590f168f967a3f355914a
"2.3. อัตราป่วยตายโรคปอดบวมในเด็กไทย อายุ 1 เดือนถึง 1 ปีบริบูรณ์ "|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=b2f9118d7117d220520dc55bfe145528
"2.4. อัตราตายทารก อายุน้อยกว่าหรือเท่ากับ 1 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=badaaceb3ffdc79b974b2c63d7119ad4
"2.5. อัตราตายทารกไทย อายุน้อยกว่าหรือเท่ากับ 1 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=522a7c48c3c831c62579427e8e29e714
"2.6. อัตราป่วยตายของเด็กอายุ 0 - 15ปีที่ติดเชื้อโรคติดเชื้อไวรัสโคโรนา 2019 หรือโรคโควิด 19"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=d9107db883059ad73d1de3314759fbd9
"2.7. อัตราป่วยตายของเด็กอายุ 0 - 1ปีที่ติดเชื้อโรคติดเชื้อไวรัสโคโรนา 2019 หรือโรคโควิด 19"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=8e5738efe6e8ef94ebdef63c24d817b4
"2.8. อัตราป่วยตายของเด็กอายุ 0 - 5ปีที่ติดเชื้อโรคติดเชื้อไวรัสโคโรนา 2019 หรือโรคโควิด 19"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=3dc2d92087cdc5b585eb8c0904691399&id=55c41fb0b40b2e079a818c5e2733f4d4
