name|url
"1. สาเหตุการป่วยของผู้ป่วยนอกตามกลุ่มโรค10 อันดับแรก"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=491672679818600345dc1833920051b2&id=65fdb98bca9c344737fcb1fd4b64e9e5
"2. สาเหตุการป่วยของผู้ป่วยนอกตามกลุ่มโรค10 อันดับแรก ในกลุ่มอายุน้อยกว่าเท่ากับ 15 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=491672679818600345dc1833920051b2&id=958df49d2e1975eafa7f0a8d9bb7663f
"3. สาเหตุการป่วยของผู้ป่วยในตามกลุ่มโรค10 อันดับแรก"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=491672679818600345dc1833920051b2&id=87af734bc7575ecba528b7c9dba063bb
"4. สาเหตุการป่วยของผู้ป่วยในตามกลุ่มโรค10 อันดับแรก ในกลุ่มอายุน้อยกว่าเท่ากับ 15 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=491672679818600345dc1833920051b2&id=e9203cf0744a3056e5852697e40de86e
"5. สาเหตุการตาย 10 อันดับแรก"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/opd10_sex.php&cat_id=491672679818600345dc1833920051b2&id=8881445af732eb166fa2470ba5046956
"6. สาเหตุการตาย 10 อันดับแรก ในกลุ่มอายุน้อยกว่าเท่ากับ 15 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format2.php&cat_id=491672679818600345dc1833920051b2&id=14cf673fd923e1add94091612c61cfd5
"7. รายงานการตายตาม 298 กลุ่มโรค(hospital base)"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/death298.php&cat_id=491672679818600345dc1833920051b2&id=b4ea22252bb533f3f9225dfcab83d43a
"8. อัตราการเสียชีวิตจากการจมน้ำของเด็กอายุต่ากว่า 15 ปี"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=456bd894231700173a89544c1de3c9bf
"9. อัตราตายทารกแรกเกิด อายุน้อยกว่าหรือเท่ากับ 28 วัน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=0acbbb84a5c774c129dfc849a742d766
"10. อัตราทารกที่เป็นโรคโลหิตจางธาลัสซีเมียต่อประชากร 1,000 คน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/format_1t1r.php&cat_id=491672679818600345dc1833920051b2&id=6f43c3e9d6dc13a7b685e5af88923c4a
"11.1. ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้กัญชา (Cannabinoid) ผู้ป่วยนอก"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=941c4012141d836961de4cda1004f76b
"11.2. ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้กัญชา (Cannabinoid) ผู้ป่วยใน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=5a01c4b34aee35c16bd940085a38d760
"11.3. ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้กัญชา (Cannabinoid) ผู้ป่วยนอก จำแนกรายเดือน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=579e270021d2da8772f56d490f40fb8a
"11.4. ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้กัญชา (Cannabinoid) ผู้ป่วยใน จำแนกรายเดือน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=8373b0a6617228d98af623a977a5866a
"12.1. ผู้ป่วยที่มีความผิดปกติจากการใช้กัญชา Poisoning:Cannabis (derivatives) ผู้ป่วยนอก"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=679a3edb953dd352b33638181cfd5d22
"12.2. ผู้ป่วยที่มีความผิดปกติจากการใช้กัญชา Poisoning:Cannabis (derivatives) ผู้ป่วยใน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=491672679818600345dc1833920051b2&id=1e5f5c776c74c49c706d54ce91336f5f
